Timestamp,class,textbookTitle,edition,price
5/9/2017 13:31,FAH 0025/REL25,Medieval Architecture,,$10.00 
5/9/2017 13:23,PSY 0032,APA Publication Manual,6,$15.00 
5/28/2017 19:51,Misc 0000,A Raisin in the Sun,,$3.00 
5/28/2017 19:50,Misc 0000,A Wrinkle in Time,,$3.00 
5/28/2017 19:42,Misc 0000,Between Good And Ghetto: African American Girls and Inner-City Violence,,$3.00 
5/28/2017 19:47,Misc 0000,Consent of the Networked: The Worldwide Struggle for Internet Freedom,,$3.00 
5/28/2017 19:48,Misc 0000,Feminist Frontiers,Ninth Edition,$3.00 
5/28/2017 19:46,Misc 0000,Gender Inequality: Feminist Theories and Politics,Fifth Edition,$3.00 
5/28/2017 19:45,Misc 0000,Intercourse: The Groundbreaking Feminist Classic,,$3.00 
5/28/2017 19:40,Misc 0000,Let's Go: Europe 2012,,$3.00 
5/28/2017 19:43,Misc 0000,Safety Planning with Battered Women,,$3.00 
5/28/2017 19:44,Misc 0000,Sisters in Law: Women Lawyers in Modern American History,,$3.00 
5/28/2017 19:41,Misc 0000,Skyscraper,,$3.00 
5/28/2017 19:49,Misc 0000,Travels with Charley: In Search of America,,$3.00 
5/28/2017 19:49,Misc 0000,Travels with Charley: In Search of America,,$3.00 
5/5/2017 18:21,CHEM 0011/12,General Chemistry Principles and Modern Applications,10th,$49.00 
5/10/2017 19:31,CHEM 0011/12,General Chemistry Principles and Application,10th,$48.00 
5/9/2017 20:01,CHEM 0011,General Chemistry ,10,$47.50 
5/9/2017 19:57,CHEM 0011,General Chemistry: Principles and Modern Applications ,Tenth ,$48.50 
5/11/2017 12:17,CHEM 0171/Bio 171,Principles of Biochemistry,6th,$50.00 
5/12/2017 12:07,CHEM 0001/0002,Chemistry The Central Science ,12th,$40.00 
5/10/2017 13:36,CHEM 0001/002,Chemistry The Central Science,12,$60.00 
5/10/2017 12:54,CHEM 0001/2,"solutions manual, red exercises",13,$25.00 
5/11/2017 12:59,PJS 0001,On Killing,,$5.00 
5/11/2017 13:01,PJS 0001,Our Harsh Logic,,$5.00 
5/11/2017 12:58,PJS 0001,The New Jim Crow,,$8.00 
5/8/2017 13:22,PJS 0001,The New Jim Crow- Mass Incarceration in the Age of Colorblindness,,$8.00 
5/10/2017 15:46,PJS 0001,Why Social Justice Matters,,$20.00 
5/9/2017 19:52,PJS 0001 ,Approaches to Peace: A Reader in Peace Studies ,Third,$30.00 
5/8/2017 14:00,PJS 0150,To End a War,,$7.50 
5/10/2017 20:21,ARCH 0027,"Archaeology: Theories, Methods, and Practice",6th,$30.00 
5/10/2017 20:20,ARCH 0027,Greek Art and Archaeology,5th,$50.00 
5/9/2017 13:27,ARCH 0027,Greek Art and Archaeology (by Pedley),5,$75.00 
5/8/2017 12:18,MUS 0003,Worlds of Music,6th Edition,$60.00 
5/8/2017 13:34,MUS 0064,Computer Tools for Musicians,Fall 2016,$7.00 
5/8/2017 13:40,MUS 0151,The Sound Studies Reader,,$20.00 
5/8/2017 13:37,MUS 0192,Blue Nippon,,$10.00 
5/8/2017 13:39,MUS 0192,Nationalizing Blackness,,$10.00 
5/8/2017 13:48,MUS 0193,"Television, Espionage, and Cold War Culture: Citizen Spy",,$2.00 
5/8/2017 14:13,CD 0051,Beyond Universals in Cognitive Development,,$5.00 
5/8/2017 14:13,CD 0051,Conversations with Jean Piaget,,$5.00 
5/8/2017 14:14,CD 0051,CSHD 51 COURSE PACKET,,$20.00 
5/8/2017 14:14,CD 0051,Intelligence Multiple Perspectives,,$5.00 
5/8/2017 14:13,CD 0051,Models of Cognitive Development,,$5.00 
5/8/2017 14:12,CD 0051,The Scientist in the Crib,,$5.00 
5/4/2017 14:33,CD 0061,Persepolis 2,,$5.00 
5/3/2017 14:19,CD 0062,The Cultural Nature of Human Development,,$15.00 
5/9/2017 12:53,CD 0062,The Cultural Nature of Human Development ,1st,$35.00 
5/9/2017 12:19,CD 0062,The Cultural Nature of Human Development,,$25.00 
5/10/2017 11:54,MATH 0021,Elementary Statistics,12th,$55.00 
5/8/2017 13:04,MATH 0030,Brief Calculus & Its Application,12th,$25.00 
5/8/2017 12:38,MATH 0030,Symmetry ,,$15.00 
5/9/2017 14:07,MATH 0030,Symmetry Textbook,,$15.00 
5/28/2017 19:22,MATH 0032/34/42,Calculus: Early Transcendentals ,,$125.00 
5/10/2017 13:17,MATH 0032/34/42,Student's Solution Manual (Single Variable),,$15.00 
5/4/2017 13:14,MATH 0161,Probability and Stochastic Processes,n/a,$40.00 
5/11/2017 16:54,CLS 0027,Historical Atlas of Ancient Rome,,$5.00 
5/11/2017 16:55,CLS 0027,The Historical Atlas of Ancient Greece,,$5.00 
5/6/2017 11:19,CLS 0064,Bram Stoker's Dracula Abridged,,$10.00 
5/9/2017 13:46,CLS 0064,Dracula,,$10.00 
5/9/2017 13:44,CLS 0064,Selected Tales,,$8.00 
5/9/2017 13:42,CLS 0064,The Neverending Story,,$5.00 
5/9/2017 13:45,CLS 0064,The Voyage of Saint Brendan,,$8.00 
5/2/2017 16:16,CLS 0075,Classical Mythology,9,$25.00 
5/9/2017 13:26,CLS 0110,A Short History of Byzantium (Norwich),,$5.00 
5/9/2017 13:26,CLS 0110,Holy Women of Byzantium (by Talbot),,$12.00 
5/9/2017 13:25,CLS 0110,Women of Byzantium (by Connor),2004,$35.00 
4/7/2017 15:33,EC 0005,Economic - Hubbard O'Brien,5th edition,$40.00 
5/1/2017 15:53,EC 0005,Economics,3,$39.00 
5/2/2017 15:36,EC 0005,Economics,6th,$100.00 
5/9/2017 23:37,EC 0005,Economics,6,$70.00 
5/10/2017 14:03,EC 0005,Economics,5th ,$75.00 
5/28/2017 19:30,EC 0005,Economics,Fifth Edition,$30.00 
5/6/2017 12:32,EC 0005,Economics - Hubbard and O'Brien,Fifth edition,$40.00 
5/9/2017 12:56,EC 0005,Macroeconomics,4th,$5.00 
5/11/2017 11:27,EC 0011,Intermediate MicroEconomics Varian,8th,$35.00 
