Time recorded,Class Name,Book name,price,Time Sold,,,,,,,,,,,,,,
5/9/2017 23:38,ENG 0001/0002,Rules For Writers,15,9/4/2017,,,,,,,,,,,,,,
5/10/2017 15:45,MATH 0032/34,Calculus: Early Transcendentals,$130 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 10:38,CHEM 0001/002/0011/0012,"Student Lab Notebook (100 pages, 8 used)",$5 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 11:24,CHEM 0001/2,Chemistry:The Central Science SOLUTIONS,5,9/4/2017,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,chemistry: the central science,30,9/4/2017,,,,,,,,,,,,,,
5/10/2017 13:11,BIO 0013/14,A Short Guide to Writing About Biology,$8 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 11:23,CHEM 0001/2,Chemistry: The Central Science,$60 ,9/4/2017,,,,,,,,,,,,,,
5/8/2017 10:34,SOC 0001,Mapping the Social Landscape: Readings in Sociology,10,9/4/2017,,,,,,,,,,,,,,
5/9/2017 23:36,ENG 0001,The Bedford Reader,$40 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,COMP 0011,Problem Solving with C++,20,9/4/2017,,,,,,,,,,,,,,
9/4/2017,,French Dictionary,2,9/4/2017,,,,,,,,,,,,,,
9/4/2017,MATH 0034,Calculus Early Transcendentals,35,9/4/2017,,,,,,,,,,,,,,
5/10/2017 17:47,ILVS 0055,The modern Middle East,20$,9/4/2017,,,,,,,,,,,,,,
5/11/2017 11:25,EC 0011,MicroEconomics Pindyck and Rubinfeld,$60 ,9/4/2017,,,,,,,,,,,,,,
4/7/2017 22:37,CD 0001,Child Development- Laura E. Berk,$70 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,BIO 0013,Biological Science,25,9/4/2017,,,,,,,,,,,,,,
5/11/2017 11:17,ES 0002,Introduction to Computing for Engineers,$60.00 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,,iClicker,10,9/4/2017,,,,,,,,,,,,,,
4/14/2017 18:30,EC 0003,Financial Accounting Warren/Reeve/Duchac,$50 ,9/4/2017,,,,,,,,,,,,,,
5/7/2017 13:49,CD 0001,Child Development,$80 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 13:22,REL 0053,Sources of Chinese Tradition,$15 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,General Chemistry,30,9/5/2017,,,,,,,,,,,,,,
9/4/2017,PHY 0011,Physics,50,9/5/2017,,,,,,,,,,,,,,
9/4/2017 12:02,SPN 0021,The Ultimate Spanish Review and Practice,$20 ,9/5/2017,,,,,,,,,,,,,,
5/11/2017 11:26,EC 0011,MicroEconomics Pindyck and Rubinfeld STUDY GUIDE,10,9/5/2017,,,,,,,,,,,,,,
9/4/2017,MATH 0034,Student's Solutions Manual Single Variable,8,9/5/2017,,,,,,,,,,,,,,
5/10/2017 15:50,CHEM 0011/0012,General Chemistry,$30 ,9/6/2017,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,chemistry: the central science,45,9/6/2017,,,,,,,,,,,,,,
9/4/2017,COMP 0015,Data Structures and Algorithm Analysis in C++,20,9/6/2017,,,,,,,,,,,,,,
9/4/2017,HIST 0053,A History of Europe in the Modern World,50,9/6/2017,,,,,,,,,,,,,,
9/6/2017,CHEM 0001,Student Lab Notebook,9,9/7/2017,,,,,,,,,,,,,,
5/9/2017 12:59,EC 0005,Microeconomics,$5 ,9/7/2017,,,,,,,,,,,,,,
9/6/2017,HIST 0002,The World Transformed: 1945 to the Present,45,9/10/2017,,,,,,,,,,,,,,
9/6/2017,HIST 0002,Indonesia Peoples and Histories,20,9/10/2017,,,,,,,,,,,,,,
9/6/2017,HIST 0002,Pathfinders: A Global History of Exploration,15,9/10/2017,,,,,,,,,,,,,,
9/6/2017,HIST 0002,Worlds of History,45,9/10/2017,,,,,,,,,,,,,,
5/10/2017 13:09,SPN 0004,No Paso Nada,$5 ,,,,,,,,,,,,,,,
5/11/2017 13:21,SPN 0003,El Ultimo Sol,10,,,,,,,,,,,,,,,
5/10/2017 13:18,SPN 0003,El ultimo sol,$5 ,,,,,,,,,,,,,,,
5/10/2017 15:47,SOC 0001,Playing to Win,$20 ,,,,,,,,,,,,,,,
5/10/2017 15:47,SOC 0001,Ain't No Makin' It,$15 ,,,,,,,,,,,,,,,
5/9/2017 23:40,SPN 0021,Comp Conv spn 21 workbook,$50 ,,,,,,,,,,,,,,,
5/7/2017 13:50,SPN 0003,El ultimo sol,30,,,,,,,,,,,,,,,
5/10/2017 13:15,PS 0041,The Landmark Thucydides,$5 ,,,,,,,,,,,,,,,
5/10/2017 15:48,SOC 0001,Mapping the Social Landscape,$50 ,,,,,,,,,,,,,,,
5/10/2017 15:30,SPN 0021,Intrigas supersite code,$8 ,,,,,,,,,,,,,,,
,MATH 0042,Multivariable Calculus,45,,,,,,,,,,,,,,,
,PSY 0001,Psychological Science,4th,,,,,,,,,,,,,,,
5/9/2017 13:01,CD 0001,Child Development,$60 ,,,,,,,,,,,,,,,
5/10/2017 13:17,MATH 0032/34/42,Calculus Early Transcendentals,$20 ,,,,,,,,,,,,,,,
5/10/2017 15:19,ENG 0001,Rules for Writers 2016 MLA Update,$35 ,,,,,,,,,,,,,,,
5/7/2017 13:48,BIO 0013/14,Biological Sciences,$100 ,,,,,,,,,,,,,,,
5/10/2017 13:13,BIO 0013/14,A Short Guide to Writing About BIology,$8 ,,,,,,,,,,,,,,,
5/10/2017 15:49,FR 0001/2/3/4/21/22,Collins French Dictionary,$8 ,,,,,,,,,,,,,,,
5/10/2017 15:49,FR 0021,No et Moi,$6 ,,,,,,,,,,,,,,,
9/4/2017,ENG 0092,The Woman Warrior,5,,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,solutions to black exercises,20,,,,,,,,,,,,,,,
9/4/2017,CHEM 0001,Student Guide,40,,,,,,,,,,,,,,,
,CHEM 0001,Labratory Notebook,$15 ,,,,,,,,,,,,,,,
,SPN 0021,Intregas,50,,,,,,,,,,,,,,,
,CHNS 0001,NPCR Book 1,15,,,,,,,,,,,,,,,
5/8/2017 13:02,BIO 0013/14,Biological Science,$89 ,9/4/2017,,,,,,,,,,,,,,
5/11/2017 11:19,CHEM 0001/2,Chemistry: The Central Science,$70.00 ,9/4/2017,,,,,,,,,,,,,,
5/12/2017 14:24,COMP 0015,"computer science, cs15",$50 ,9/4/2017,,,,,,,,,,,,,,
9/4/2017,,Lab Notebook,6,9/4/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0021,The Ultimate Spanish Review and Practice,20,9/5/2017,,,,,,,,,,,,,,
9/5/2017,SPN 0022,Vistas y Voces Latinas,20,9/5/2017,,,,,,,,,,,,,,
9/4/2017,FR 0021,La Grammaire a L'oeuvre,15,9/5/2017,,,,,,,,,,,,,,
9/5/2017,BIO 0013,Biological science,80,9/5/2017,,,,,,,,,,,,,,
5/9/2017 13:16,BIO 0013,Biological Science,$150 ,9/5/2017,,,,,,,,,,,,,,
9/4/2017,,iClicker,10,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,The Practical Skeptic,40,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,Mapping the Social Landscape,20,9/6/2017,,,,,,,,,,,,,,
5/10/2017 15:48,SOC 0001,The Practical Skeptic: Core Concepts in Sociology,$50 ,9/6/2017,,,,,,,,,,,,,,
9/6/2017,PHIL 0001,Introduction to Philosophy,15,9/6/2017,,,,,,,,,,,,,,
9/4/2017,SOC 0001,Ain't No Makin' It,30,9/6/2017,,,,,,,,,,,,,,
9/4/2017,MISC 0000,Just Mercy,7,9/10/2017,,,,,,,,,,,,,,
9/5/2017,CH 0001,Mountains Beyond Mountains,10,9/10/2017,,,,,,,,,,,,,,
5/2/2017 16:09,SPN 0004,Atando Cabos,40,,,,,,,,,,,,,,,
5/7/2017 14:47,CD 0001,Child Development ,$70 ,,,,,,,,,,,,,,,
5/9/2017 12:58,EC 0005,Economics,$5 ,,,,,,,,,,,,,,,
9/4/2017,,iClicker,10,,,,,,,,,,,,,,,
5/9/2017 13:22,MATH 0019,Mathematics of Social Choice,$20 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 19:37,ENG 0001,Rules for Writers,$25 ,9/4/2017,,,,,,,,,,,,,,
5/10/2017 12:57,PHY 0011,Physics Scientists and Engineers: Giancoli,20,9/4/2017,,,,,,,,,,,,,,
5/8/2017 13:11,BIO 0013,Biological Science,$100 ,9/4/2017,,,,,,,,,,,,,,
5/12/2017 13:23,EC 0011,Microeconomics (Pindyck and Rubinfeld),$9 ,9/4/2017,,,,,,,,,,,,,,
5/4/2017 14:28,BIO 0013/0014,Biological Science,$30 ,9/4/2017,,,,,,,,,,,,,,
